user_id,transport,recycle,plastic,meat,task,score
44,Public Transport,Yes,Yes,No,Use public transport today,80
45,Public Transport,Yes,Yes,Daily,Reduce electricity usage,70
46,Walk/Cycle,No,Yes,No,Use public transport today,60
47,Car,Yes,No,Few times,Reduce electricity usage,70
48,Public Transport,No,Yes,No,Unplug unused chargers,60
49,Car,No,No,No,Try vegetarian meal,50
50,Public Transport,No,Yes,Few times,Reduce electricity usage,60
51,Public Transport,No,Yes,Daily,Plant or water a plant,50
52,Walk/Cycle,Yes,Yes,Daily,Carry reusable water bottle,70
53,Public Transport,No,No,Rarely,Use public transport today,80
54,Public Transport,Yes,No,Few times,Avoid single-use plastic,100
55,Public Transport,Yes,No,No,Use public transport today,100
56,Car,No,No,No,Use public transport today,50
57,Car,Yes,Yes,No,Carry reusable water bottle,50
58,Walk/Cycle,No,Yes,No,Plant or water a plant,60
59,Car,Yes,Yes,Daily,Reduce electricity usage,40
60,Walk/Cycle,Yes,Yes,Daily,Avoid single-use plastic,70
61,Walk/Cycle,No,Yes,Rarely,Avoid single-use plastic,60
62,Public Transport,Yes,Yes,Daily,Carry reusable water bottle,70
63,Car,No,No,Few times,Plant or water a plant,50
64,Public Transport,No,No,Rarely,Unplug unused chargers,80
65,Public Transport,Yes,No,No,Try vegetarian meal,100
66,Walk/Cycle,Yes,No,Rarely,Turn off unused lights,100
67,Car,No,No,Few times,Use cloth bags while shopping,50
68,Public Transport,Yes,Yes,Daily,Walk instead of driving for short distances,70
69,Walk/Cycle,Yes,Yes,Daily,Use cloth bags while shopping,70
70,Car,No,Yes,Daily,Walk instead of driving for short distances,20
71,Walk/Cycle,Yes,No,Rarely,Carry reusable water bottle,100
72,Car,Yes,Yes,Rarely,Carry reusable water bottle,50
73,Car,Yes,No,Rarely,Use cloth bags while shopping,70
74,Walk/Cycle,Yes,Yes,Few times,Walk instead of driving for short distances,80
75,Walk/Cycle,Yes,Yes,Rarely,Try vegetarian meal,80
76,Car,No,Yes,Rarely,Carry reusable water bottle,30
77,Walk/Cycle,No,No,No,Unplug unused chargers,80
78,Walk/Cycle,No,Yes,Few times,Turn off unused lights,60
79,Public Transport,Yes,Yes,No,Use cloth bags while shopping,80
80,Public Transport,No,No,Daily,Reduce shower time by 2 minutes,70
81,Public Transport,No,No,Rarely,Plant or water a plant,80
82,Car,No,No,Few times,Plant or water a plant,50
83,Public Transport,Yes,No,No,Try vegetarian meal,100
84,Walk/Cycle,Yes,No,No,Avoid single-use plastic,100
85,Public Transport,No,Yes,No,Try vegetarian meal,60
86,Car,Yes,No,Rarely,Carry reusable water bottle,70
87,Car,No,Yes,Rarely,Turn off unused lights,30
88,Walk/Cycle,Yes,Yes,No,Walk instead of driving for short distances,80
89,Car,No,No,Few times,Use cloth bags while shopping,50
90,Walk/Cycle,Yes,No,Rarely,Plant or water a plant,100
91,Car,No,No,Few times,Try vegetarian meal,50
92,Public Transport,Yes,Yes,No,Use public transport today,80
93,Walk/Cycle,Yes,Yes,Daily,Unplug unused chargers,70
94,Car,No,No,Few times,Plant or water a plant,50
95,Walk/Cycle,No,Yes,No,Avoid single-use plastic,60
96,Walk/Cycle,Yes,Yes,Daily,Unplug unused chargers,70
97,Public Transport,No,No,Few times,Use public transport today,80
98,Walk/Cycle,No,No,No,Turn off unused lights,80
99,Walk/Cycle,Yes,No,Daily,Reduce shower time by 2 minutes,90
100,Walk/Cycle,Yes,No,Daily,Turn off unused lights,90
101,Public Transport,Yes,Yes,No,Unplug unused chargers,80
102,Public Transport,Yes,Yes,No,Carry reusable water bottle,80
103,Walk/Cycle,Yes,No,Rarely,Reduce electricity usage,100
104,Walk/Cycle,Yes,No,Daily,Carry reusable water bottle,90
105,Car,No,Yes,Daily,Use cloth bags while shopping,20
106,Public Transport,Yes,Yes,Rarely,Turn off unused lights,80
107,Public Transport,No,Yes,No,Turn off unused lights,60
108,Public Transport,No,Yes,Few times,Try vegetarian meal,60
109,Car,Yes,Yes,Few times,Walk instead of driving for short distances,50
110,Walk/Cycle,No,Yes,Few times,Use public transport today,60
111,Car,Yes,No,No,Turn off unused lights,70
112,Public Transport,Yes,No,Daily,Carry reusable water bottle,90
113,Public Transport,Yes,No,Few times,Unplug unused chargers,100
114,Walk/Cycle,No,No,Daily,Turn off unused lights,70
115,Public Transport,Yes,No,No,Use cloth bags while shopping,100
116,Public Transport,No,No,Daily,Reduce electricity usage,70
117,Car,Yes,Yes,No,Carry reusable water bottle,50
118,Public Transport,No,Yes,Rarely,Try vegetarian meal,60
119,Walk/Cycle,Yes,No,Daily,Turn off unused lights,90
120,Public Transport,No,No,Daily,Walk instead of driving for short distances,70
121,Walk/Cycle,No,No,Daily,Try vegetarian meal,70
122,Car,Yes,Yes,Few times,Use public transport today,50
123,Walk/Cycle,No,Yes,Daily,Unplug unused chargers,50
124,Public Transport,Yes,No,No,Plant or water a plant,100
125,Walk/Cycle,No,No,Rarely,Use public transport today,80
126,Walk/Cycle,Yes,No,Few times,Use public transport today,100
127,Public Transport,Yes,No,Daily,Unplug unused chargers,90
128,Walk/Cycle,Yes,Yes,Rarely,Walk instead of driving for short distances,80
129,Public Transport,No,Yes,Rarely,Carry reusable water bottle,60
130,Car,No,Yes,Daily,Reduce electricity usage,20
131,Walk/Cycle,No,No,No,Walk instead of driving for short distances,80
132,Public Transport,Yes,Yes,No,Reduce shower time by 2 minutes,80
133,Car,Yes,Yes,No,Use cloth bags while shopping,50
134,Walk/Cycle,No,No,Daily,Carry reusable water bottle,70
135,Public Transport,No,Yes,No,Avoid single-use plastic,60
136,Car,No,No,Few times,Walk instead of driving for short distances,50
137,Public Transport,No,Yes,Rarely,Plant or water a plant,60
138,Walk/Cycle,No,No,Daily,Reduce electricity usage,70
139,Car,Yes,No,No,Use public transport today,70
140,Car,No,No,Daily,Use public transport today,40
141,Car,No,Yes,No,Carry reusable water bottle,30
142,Car,Yes,No,No,Carry reusable water bottle,70
143,Car,No,Yes,Daily,Plant or water a plant,20
144,Public Transport,Yes,No,Daily,Carry reusable water bottle,90
145,Walk/Cycle,No,Yes,No,Use public transport today,60
146,Car,No,No,Rarely,Walk instead of driving for short distances,50
147,Car,Yes,Yes,Few times,Reduce electricity usage,50
148,Walk/Cycle,Yes,Yes,Rarely,Walk instead of driving for short distances,80
149,Public Transport,Yes,No,Daily,Carry reusable water bottle,90
150,Walk/Cycle,Yes,Yes,Rarely,Reduce electricity usage,80
151,Public Transport,No,No,Daily,Unplug unused chargers,70
152,Car,No,No,No,Use cloth bags while shopping,50
153,Car,Yes,No,Few times,Reduce shower time by 2 minutes,70
154,Walk/Cycle,Yes,No,Few times,Walk instead of driving for short distances,100
155,Car,No,Yes,Daily,Reduce shower time by 2 minutes,20
156,Walk/Cycle,Yes,No,Rarely,Reduce electricity usage,100
157,Public Transport,Yes,Yes,No,Walk instead of driving for short distances,80
158,Car,No,Yes,Few times,Try vegetarian meal,30
159,Car,No,No,No,Carry reusable water bottle,50
160,Walk/Cycle,Yes,Yes,No,Reduce shower time by 2 minutes,80
161,Walk/Cycle,No,No,Rarely,Try vegetarian meal,80
162,Walk/Cycle,No,No,Rarely,Reduce shower time by 2 minutes,80
163,Walk/Cycle,No,Yes,Few times,Use cloth bags while shopping,60
164,Walk/Cycle,No,No,Rarely,Use cloth bags while shopping,80
165,Public Transport,No,No,No,Turn off unused lights,80
166,Walk/Cycle,Yes,Yes,Few times,Try vegetarian meal,80
167,Walk/Cycle,Yes,Yes,No,Try vegetarian meal,80
168,Walk/Cycle,Yes,Yes,Daily,Reduce electricity usage,70
169,Walk/Cycle,Yes,Yes,No,Turn off unused lights,80
170,Car,Yes,No,Few times,Reduce shower time by 2 minutes,70
171,Walk/Cycle,No,No,No,Reduce shower time by 2 minutes,80
172,Walk/Cycle,Yes,Yes,Daily,Turn off unused lights,70
173,Car,No,Yes,Daily,Use cloth bags while shopping,20
174,Car,Yes,No,Rarely,Unplug unused chargers,70
175,Public Transport,No,No,Few times,Use cloth bags while shopping,80
176,Walk/Cycle,Yes,Yes,No,Avoid single-use plastic,80
177,Walk/Cycle,No,No,No,Carry reusable water bottle,80
178,Public Transport,No,Yes,Daily,Turn off unused lights,50
179,Public Transport,Yes,No,No,Plant or water a plant,100
180,Public Transport,Yes,Yes,No,Try vegetarian meal,80
181,Car,No,No,No,Reduce shower time by 2 minutes,50
182,Walk/Cycle,No,Yes,Daily,Avoid single-use plastic,50
183,Walk/Cycle,Yes,No,No,Reduce shower time by 2 minutes,100
184,Walk/Cycle,No,No,Rarely,Turn off unused lights,80
185,Public Transport,Yes,Yes,Few times,Reduce shower time by 2 minutes,80
186,Car,No,No,Rarely,Plant or water a plant,50
187,Public Transport,Yes,No,Daily,Use cloth bags while shopping,90
188,Public Transport,Yes,Yes,No,Carry reusable water bottle,80
189,Public Transport,Yes,Yes,Few times,Reduce shower time by 2 minutes,80
190,Public Transport,No,No,No,Avoid single-use plastic,80
191,Car,No,Yes,Rarely,Avoid single-use plastic,30
192,Walk/Cycle,Yes,Yes,Rarely,Walk instead of driving for short distances,80
193,Car,Yes,Yes,Rarely,Walk instead of driving for short distances,50
194,Car,No,No,Daily,Reduce electricity usage,40
195,Car,Yes,No,Rarely,Use cloth bags while shopping,70
196,Car,Yes,Yes,Few times,Use cloth bags while shopping,50
197,Public Transport,Yes,Yes,Daily,Use public transport today,70
198,Public Transport,No,Yes,Few times,Use cloth bags while shopping,60
199,Public Transport,No,Yes,Daily,Reduce electricity usage,50
200,Car,No,Yes,Daily,Use public transport today,20
201,Walk/Cycle,No,No,Few times,Carry reusable water bottle,80
202,Walk/Cycle,Yes,Yes,Few times,Walk instead of driving for short distances,80
203,Car,No,No,Rarely,Carry reusable water bottle,50
204,Car,Yes,No,Daily,Use public transport today,60
205,Walk/Cycle,No,Yes,Daily,Turn off unused lights,50
206,Car,Yes,No,No,Carry reusable water bottle,70
207,Walk/Cycle,Yes,Yes,No,Turn off unused lights,80
208,Walk/Cycle,No,No,Daily,Plant or water a plant,70
209,Walk/Cycle,No,No,Daily,Plant or water a plant,70
210,Walk/Cycle,Yes,Yes,Few times,Plant or water a plant,80
211,Walk/Cycle,No,Yes,Daily,Use cloth bags while shopping,50
212,Public Transport,Yes,No,Few times,Turn off unused lights,100
213,Car,No,Yes,Daily,Unplug unused chargers,20
214,Public Transport,Yes,No,Daily,Try vegetarian meal,90
215,Walk/Cycle,Yes,Yes,Daily,Reduce shower time by 2 minutes,70
216,Car,Yes,Yes,Daily,Unplug unused chargers,40
217,Walk/Cycle,No,No,Rarely,Unplug unused chargers,80
218,Public Transport,No,Yes,Rarely,Avoid single-use plastic,60
219,Public Transport,Yes,No,Few times,Walk instead of driving for short distances,100
220,Car,No,Yes,Daily,Walk instead of driving for short distances,20
221,Walk/Cycle,Yes,No,Rarely,Turn off unused lights,100
222,Public Transport,No,Yes,No,Turn off unused lights,60
223,Public Transport,No,Yes,Daily,Walk instead of driving for short distances,50
224,Walk/Cycle,No,No,Daily,Use cloth bags while shopping,70
225,Walk/Cycle,Yes,Yes,Daily,Avoid single-use plastic,70
226,Public Transport,No,No,Few times,Carry reusable water bottle,80
227,Walk/Cycle,Yes,No,Few times,Try vegetarian meal,100
228,Car,No,No,Daily,Plant or water a plant,40
229,Walk/Cycle,No,No,No,Reduce electricity usage,80
230,Walk/Cycle,No,No,Daily,Use public transport today,70
231,Car,No,Yes,Daily,Try vegetarian meal,20
232,Public Transport,Yes,Yes,Rarely,Walk instead of driving for short distances,80
233,Car,Yes,No,Daily,Reduce electricity usage,60
234,Public Transport,Yes,Yes,Few times,Walk instead of driving for short distances,80
235,Walk/Cycle,No,No,Daily,Use public transport today,70
236,Public Transport,No,No,Rarely,Turn off unused lights,80
237,Walk/Cycle,No,No,Few times,Turn off unused lights,80
238,Walk/Cycle,Yes,No,Daily,Reduce electricity usage,90
239,Walk/Cycle,No,No,Rarely,Turn off unused lights,80
240,Car,No,Yes,Daily,Carry reusable water bottle,20
241,Walk/Cycle,Yes,No,No,Unplug unused chargers,100
242,Walk/Cycle,No,Yes,Daily,Avoid single-use plastic,50
243,Car,Yes,No,Daily,Try vegetarian meal,60
244,Public Transport,Yes,Yes,Rarely,Turn off unused lights,80
245,Car,No,No,No,Try vegetarian meal,50
246,Car,Yes,No,Rarely,Plant or water a plant,70
247,Car,No,Yes,Rarely,Reduce shower time by 2 minutes,30
248,Walk/Cycle,Yes,No,Daily,Walk instead of driving for short distances,90
249,Car,Yes,No,Few times,Reduce shower time by 2 minutes,70
250,Car,No,Yes,No,Reduce electricity usage,30
251,Car,No,No,Rarely,Plant or water a plant,50
252,Public Transport,Yes,No,Daily,Turn off unused lights,90
253,Walk/Cycle,Yes,Yes,Daily,Use public transport today,70
254,Public Transport,No,Yes,Few times,Reduce shower time by 2 minutes,60
255,Car,No,Yes,No,Reduce electricity usage,30
256,Public Transport,Yes,No,Daily,Turn off unused lights,90
257,Public Transport,Yes,Yes,Rarely,Turn off unused lights,80
258,Car,Yes,Yes,No,Carry reusable water bottle,50
259,Car,Yes,Yes,No,Turn off unused lights,50
260,Car,No,No,Rarely,Avoid single-use plastic,50
261,Walk/Cycle,Yes,No,Rarely,Carry reusable water bottle,100
262,Public Transport,Yes,No,No,Avoid single-use plastic,100
263,Car,Yes,No,Rarely,Avoid single-use plastic,70
264,Car,No,Yes,Few times,Walk instead of driving for short distances,30
265,Car,No,No,Rarely,Use public transport today,50
266,Car,Yes,Yes,Daily,Try vegetarian meal,40
267,Walk/Cycle,Yes,No,No,Turn off unused lights,100
268,Public Transport,No,No,No,Carry reusable water bottle,80
269,Public Transport,Yes,No,Rarely,Reduce electricity usage,100
270,Car,No,No,Few times,Plant or water a plant,50
271,Car,No,Yes,Rarely,Walk instead of driving for short distances,30
272,Public Transport,Yes,Yes,No,Reduce electricity usage,80
273,Public Transport,No,Yes,Few times,Avoid single-use plastic,60
274,Walk/Cycle,Yes,No,Rarely,Walk instead of driving for short distances,100
275,Walk/Cycle,Yes,Yes,Few times,Reduce electricity usage,80
276,Car,Yes,No,No,Reduce electricity usage,70
277,Walk/Cycle,Yes,Yes,Few times,Unplug unused chargers,80
278,Car,Yes,Yes,No,Turn off unused lights,50
279,Car,Yes,Yes,No,Plant or water a plant,50
280,Car,No,Yes,No,Unplug unused chargers,30
281,Car,No,No,Daily,Try vegetarian meal,40
282,Public Transport,Yes,Yes,Daily,Unplug unused chargers,70
283,Walk/Cycle,No,No,Rarely,Walk instead of driving for short distances,80
284,Public Transport,No,No,Daily,Plant or water a plant,70
285,Car,Yes,Yes,No,Reduce shower time by 2 minutes,50
286,Public Transport,No,No,Rarely,Avoid single-use plastic,80
287,Walk/Cycle,No,Yes,Rarely,Avoid single-use plastic,60
288,Walk/Cycle,No,Yes,Daily,Use cloth bags while shopping,50
289,Walk/Cycle,Yes,Yes,No,Try vegetarian meal,80
290,Public Transport,No,Yes,Rarely,Reduce electricity usage,60
291,Public Transport,No,Yes,No,Reduce shower time by 2 minutes,60
292,Public Transport,Yes,Yes,Rarely,Try vegetarian meal,80
293,Public Transport,Yes,No,Few times,Use cloth bags while shopping,100
294,Public Transport,No,No,Daily,Turn off unused lights,70
295,Walk/Cycle,Yes,Yes,No,Walk instead of driving for short distances,80
296,Car,No,Yes,Few times,Unplug unused chargers,30
297,Public Transport,No,Yes,Few times,Use cloth bags while shopping,60
298,Car,No,No,No,Plant or water a plant,50
299,Public Transport,No,No,Few times,Turn off unused lights,80
300,Walk/Cycle,No,No,Few times,Use cloth bags while shopping,80
301,Public Transport,Yes,Yes,Rarely,Use cloth bags while shopping,80
302,Public Transport,No,No,Rarely,Unplug unused chargers,80
303,Public Transport,Yes,Yes,Rarely,Reduce electricity usage,80
304,Walk/Cycle,No,Yes,Few times,Reduce shower time by 2 minutes,60
305,Public Transport,Yes,Yes,No,Try vegetarian meal,80
306,Public Transport,Yes,Yes,Few times,Use public transport today,80
307,Public Transport,No,Yes,No,Use cloth bags while shopping,60
308,Public Transport,Yes,Yes,Few times,Avoid single-use plastic,80
309,Car,Yes,No,Few times,Turn off unused lights,70
310,Walk/Cycle,No,Yes,Few times,Reduce shower time by 2 minutes,60
311,Car,No,Yes,No,Turn off unused lights,30
312,Walk/Cycle,Yes,Yes,No,Avoid single-use plastic,80
313,Car,Yes,Yes,Daily,Unplug unused chargers,40
314,Public Transport,Yes,Yes,Daily,Use public transport today,70
315,Car,Yes,No,Daily,Plant or water a plant,60
316,Car,Yes,Yes,Daily,Try vegetarian meal,40
317,Walk/Cycle,Yes,No,Few times,Reduce electricity usage,100
318,Public Transport,Yes,Yes,Rarely,Avoid single-use plastic,80
319,Walk/Cycle,Yes,No,No,Turn off unused lights,100
320,Walk/Cycle,No,No,Few times,Turn off unused lights,80
321,Public Transport,No,No,No,Plant or water a plant,80
322,Public Transport,Yes,Yes,Daily,Walk instead of driving for short distances,70
323,Public Transport,Yes,Yes,Few times,Use cloth bags while shopping,80
324,Walk/Cycle,No,No,Few times,Unplug unused chargers,80
325,Public Transport,Yes,No,Daily,Plant or water a plant,90
326,Car,No,No,Daily,Avoid single-use plastic,40
327,Public Transport,Yes,Yes,Few times,Reduce shower time by 2 minutes,80
328,Walk/Cycle,Yes,No,Daily,Turn off unused lights,90
329,Car,Yes,Yes,Daily,Unplug unused chargers,40
330,Public Transport,No,No,Daily,Try vegetarian meal,70
331,Walk/Cycle,Yes,Yes,No,Reduce electricity usage,80
332,Walk/Cycle,Yes,Yes,Few times,Carry reusable water bottle,80
333,Walk/Cycle,Yes,No,No,Use cloth bags while shopping,100
334,Public Transport,No,No,No,Walk instead of driving for short distances,80
335,Public Transport,No,No,Few times,Use cloth bags while shopping,80
336,Public Transport,Yes,Yes,Rarely,Turn off unused lights,80
337,Car,No,Yes,Few times,Reduce electricity usage,30
338,Public Transport,No,Yes,Few times,Reduce electricity usage,60
339,Walk/Cycle,Yes,No,Daily,Use cloth bags while shopping,90
340,Car,No,Yes,Few times,Carry reusable water bottle,30
341,Car,No,No,No,Carry reusable water bottle,50
342,Walk/Cycle,Yes,No,Daily,Unplug unused chargers,90
343,Car,No,No,Few times,Try vegetarian meal,50
344,Walk/Cycle,No,No,No,Avoid single-use plastic,80
345,Walk/Cycle,Yes,Yes,No,Reduce electricity usage,80
346,Public Transport,No,Yes,No,Turn off unused lights,60
347,Car,No,No,Daily,Reduce electricity usage,40
348,Car,Yes,No,Rarely,Carry reusable water bottle,70
349,Car,Yes,No,Daily,Reduce electricity usage,60
350,Car,No,No,No,Turn off unused lights,50
351,Walk/Cycle,Yes,No,No,Use cloth bags while shopping,100
352,Car,Yes,Yes,Rarely,Avoid single-use plastic,50
353,Car,No,Yes,Few times,Reduce shower time by 2 minutes,30
354,Walk/Cycle,Yes,No,Rarely,Try vegetarian meal,100
355,Car,No,No,Daily,Reduce shower time by 2 minutes,40
356,Walk/Cycle,No,Yes,Daily,Reduce electricity usage,50
357,Car,Yes,Yes,Few times,Reduce shower time by 2 minutes,50
358,Walk/Cycle,No,No,Few times,Unplug unused chargers,80
359,Public Transport,Yes,Yes,No,Reduce shower time by 2 minutes,80
360,Car,No,No,No,Try vegetarian meal,50
361,Walk/Cycle,No,Yes,Rarely,Try vegetarian meal,60
362,Car,Yes,No,Daily,Try vegetarian meal,60
363,Car,No,No,Few times,Turn off unused lights,50
364,Public Transport,No,Yes,Few times,Try vegetarian meal,60
365,Public Transport,Yes,Yes,No,Walk instead of driving for short distances,80
366,Public Transport,No,No,Few times,Plant or water a plant,80
367,Walk/Cycle,No,No,Daily,Unplug unused chargers,70
368,Car,Yes,No,Rarely,Try vegetarian meal,70
369,Car,Yes,Yes,Rarely,Try vegetarian meal,50
370,Public Transport,No,No,Rarely,Plant or water a plant,80
371,Public Transport,No,Yes,Few times,Carry reusable water bottle,60
372,Public Transport,No,No,Daily,Turn off unused lights,70
373,Public Transport,Yes,Yes,No,Try vegetarian meal,80
374,Public Transport,No,Yes,Daily,Try vegetarian meal,50
375,Public Transport,Yes,Yes,Daily,Plant or water a plant,70
376,Walk/Cycle,No,Yes,Few times,Reduce electricity usage,60
377,Public Transport,Yes,Yes,No,Walk instead of driving for short distances,80
378,Public Transport,Yes,No,No,Carry reusable water bottle,100
379,Walk/Cycle,No,Yes,Few times,Reduce electricity usage,60
380,Car,No,No,Few times,Carry reusable water bottle,50
381,Public Transport,No,No,Daily,Use cloth bags while shopping,70
382,Car,No,No,Daily,Plant or water a plant,40
383,Public Transport,No,Yes,No,Unplug unused chargers,60
384,Public Transport,Yes,No,Daily,Plant or water a plant,90
385,Car,Yes,Yes,Few times,Use public transport today,50
386,Walk/Cycle,Yes,Yes,No,Try vegetarian meal,80
387,Car,Yes,Yes,Daily,Use public transport today,40
388,Public Transport,No,No,Few times,Turn off unused lights,80
389,Walk/Cycle,Yes,No,Few times,Unplug unused chargers,100
390,Walk/Cycle,No,Yes,Daily,Use cloth bags while shopping,50
391,Car,Yes,Yes,No,Avoid single-use plastic,50
392,Car,No,No,Few times,Carry reusable water bottle,50
393,Walk/Cycle,No,Yes,Daily,Turn off unused lights,50
394,Walk/Cycle,No,No,Few times,Unplug unused chargers,80
395,Walk/Cycle,Yes,Yes,Rarely,Reduce electricity usage,80
396,Car,No,Yes,No,Walk instead of driving for short distances,30
397,Public Transport,Yes,No,Rarely,Plant or water a plant,100
398,Walk/Cycle,No,Yes,Rarely,Reduce electricity usage,60
399,Car,Yes,No,Daily,Use public transport today,60
400,Public Transport,No,No,Few times,Use public transport today,80
401,Car,No,No,No,Avoid single-use plastic,50
402,Public Transport,No,Yes,Rarely,Avoid single-use plastic,60
403,Walk/Cycle,No,Yes,Daily,Carry reusable water bottle,50
404,Car,Yes,Yes,Few times,Carry reusable water bottle,50
405,Public Transport,Yes,Yes,Daily,Avoid single-use plastic,70
406,Walk/Cycle,Yes,Yes,Few times,Try vegetarian meal,80
407,Walk/Cycle,No,Yes,Few times,Unplug unused chargers,60
408,Car,Yes,Yes,Rarely,Unplug unused chargers,50
409,Public Transport,Yes,No,Rarely,Plant or water a plant,100
410,Car,Yes,Yes,Few times,Walk instead of driving for short distances,50
411,Public Transport,No,No,Daily,Reduce shower time by 2 minutes,70
412,Public Transport,Yes,No,Daily,Reduce electricity usage,90
413,Car,No,No,Rarely,Carry reusable water bottle,50
414,Walk/Cycle,Yes,Yes,No,Use public transport today,80
415,Walk/Cycle,No,Yes,Daily,Walk instead of driving for short distances,50
416,Walk/Cycle,Yes,No,Few times,Reduce shower time by 2 minutes,100
417,Public Transport,Yes,Yes,Daily,Unplug unused chargers,70
418,Walk/Cycle,No,Yes,Daily,Reduce electricity usage,50
419,Walk/Cycle,No,No,No,Carry reusable water bottle,80
420,Car,No,No,No,Turn off unused lights,50
421,Walk/Cycle,Yes,Yes,Few times,Use cloth bags while shopping,80
422,Car,No,No,Daily,Unplug unused chargers,40
423,Public Transport,Yes,No,Daily,Reduce electricity usage,90
424,Walk/Cycle,No,No,Rarely,Unplug unused chargers,80
425,Public Transport,Yes,Yes,No,Try vegetarian meal,80
426,Car,Yes,No,No,Use cloth bags while shopping,70
427,Car,Yes,Yes,Daily,Plant or water a plant,40
428,Walk/Cycle,No,Yes,No,Unplug unused chargers,60
429,Public Transport,Yes,Yes,No,Avoid single-use plastic,80
430,Car,Yes,No,Daily,Turn off unused lights,60
431,Car,Yes,Yes,No,Plant or water a plant,50
432,Public Transport,No,Yes,No,Use public transport today,60
433,Public Transport,No,Yes,No,Unplug unused chargers,60
434,Car,No,No,No,Carry reusable water bottle,50
435,Public Transport,No,Yes,Rarely,Use public transport today,60
436,Public Transport,No,No,Few times,Reduce shower time by 2 minutes,80
437,Car,Yes,No,Few times,Carry reusable water bottle,70
438,Walk/Cycle,Yes,No,Few times,Turn off unused lights,100
439,Public Transport,Yes,Yes,No,Turn off unused lights,80
440,Public Transport,No,No,Rarely,Walk instead of driving for short distances,80
441,Walk/Cycle,Yes,Yes,Daily,Turn off unused lights,70
442,Car,No,Yes,Daily,Plant or water a plant,20
443,Car,Yes,Yes,Rarely,Use public transport today,50
444,Public Transport,No,Yes,No,Use public transport today,60
445,Car,No,No,Rarely,Carry reusable water bottle,50
446,Car,No,No,Rarely,Use cloth bags while shopping,50
447,Walk/Cycle,Yes,Yes,Few times,Carry reusable water bottle,80
448,Walk/Cycle,No,Yes,Few times,Use public transport today,60
449,Public Transport,Yes,No,Few times,Try vegetarian meal,100
450,Walk/Cycle,No,Yes,No,Use public transport today,60
451,Public Transport,Yes,Yes,Daily,Reduce electricity usage,70
452,Public Transport,Yes,Yes,No,Use public transport today,80
453,Car,No,Yes,No,Use public transport today,30
454,Walk/Cycle,No,No,Rarely,Carry reusable water bottle,80
455,Car,No,Yes,Daily,Walk instead of driving for short distances,20
456,Public Transport,Yes,Yes,Daily,Walk instead of driving for short distances,70
457,Walk/Cycle,No,Yes,Few times,Reduce electricity usage,60
458,Walk/Cycle,No,Yes,Few times,Try vegetarian meal,60
459,Car,No,No,Few times,Walk instead of driving for short distances,50
460,Public Transport,Yes,Yes,Few times,Plant or water a plant,80
